country,year,gdp_per_capita,life_expectancy
DNK,2022,68091.3191138669,81.3048780487805
DNK,2023,68453.8769281145,81.8536585365854
DJI,2015,2376.12554719873,62.833
DJI,2016,2510.4300076241,63.335
DJI,2017,2618.95521147369,63.71
DJI,2018,2718.08338799203,64.105
DJI,2019,2837.16902340932,64.381
DJI,2020,2844.88810647853,64.2
DJI,2021,3025.91126413549,63.83
DJI,2022,3133.25779772463,65.54
DJI,2023,3397.52015779588,65.987
DMA,2015,8282.59874702141,69.968
DMA,2016,8802.56172041363,71.189
DMA,2017,8224.64896571414,68.62
DMA,2018,9215.3085405645,71.378
DMA,2019,9491.14995962374,71.305
DMA,2020,7827.74842680426,71.269
DMA,2021,8376.40414141113,69.832
DMA,2022,9323.66089490562,71.081
DMA,2023,9912.96212766668,71.132
DOM,2015,6800.95309395474,72.982
DOM,2016,7160.44200982307,72.889
DOM,2017,7412.71571571512,73.37
DOM,2018,7882.98221584944,73.555
DOM,2019,8183.01623600375,73.112
DOM,2020,7135.22273255899,72.636
DOM,2021,8527.0754858205,71.757
DOM,2022,10104.2449349081,74.211
DOM,2023,10630.431743829,73.72
ECU,2015,5976.1596805651,76.222
ECU,2016,5917.63771271481,76.094
ECU,2017,6233.32244797718,76.22
ECU,2018,6303.91886658338,77.248
ECU,2019,6205.05765246766,77.286
ECU,2020,5463.64515348598,72.004
ECU,2021,6061.32350181711,72.746
ECU,2022,6515.58528418336,76.577
ECU,2023,6737.84748379638,77.392
EGY,2015,3306.98159414141,70.135
EGY,2016,3270.6287768197,70.437
EGY,2017,2395.10333299491,70.709
EGY,2018,2484.70315630508,70.974
EGY,2019,2962.98892023003,71.213
EGY,2020,3511.11381026379,69.79
EGY,2021,3827.35415374308,68.976
EGY,2022,4233.30783744856,71.01
EGY,2023,3456.78968456253,71.633
SLV,2015,3790.34089108162,70.952
SLV,2016,3901.34014965811,70.908
SLV,2017,4020.12671373919,71.007
SLV,2018,4183.54620971358,71.384
SLV,2019,4320.11671534627,71.725
SLV,2020,3997.19279583709,70.244
SLV,2021,4642.60743101342,69.941
SLV,2022,5074.60210221806,71.969
SLV,2023,5365.44491399171,72.099
GNQ,2015,9068.91003238645,60.635
GNQ,2016,7453.19797948517,61.081
GNQ,2017,7809.10465655488,61.481
GNQ,2018,8102.47084834031,61.915
GNQ,2019,6804.14923073888,62.297
GNQ,2020,5764.05502912947,62.141
GNQ,2021,6945.63069794539,62.447
GNQ,2022,7589.29964909381,63.355
GNQ,2023,6677.793435386,63.707
EST,2015,17722.1557669523,77.590243902439
EST,2016,18666.3736521706,77.6414634146342
EST,2017,20851.5223496861,78.0926829268293
EST,2018,23618.1361254581,78.2439024390244
EST,2019,24021.2501413306,78.6463414634147
EST,2020,23933.9939421065,78.5951219512195
EST,2021,27953.7670230126,76.9439024390244
EST,2022,28451.1477825175,77.8439024390244
EST,2023,30133.304450454,78.490243902439
SWZ,2015,3420.75357067279,54.941
SWZ,2016,3239.80707501414,56.228
SWZ,2017,3853.99147918102,57.574
SWZ,2018,3973.46344933667,58.707
SWZ,2019,3913.12643969301,59.85
SWZ,2020,3454.784217446,59.862
SWZ,2021,3966.29863253832,58.228
SWZ,2022,3889.65276959161,63.028
SWZ,2023,3741.69010745416,64.123
ETH,2015,621.845673808133,63.592
ETH,2016,696.196084806324,64.162
ETH,2017,745.632433925343,64.766
ETH,2018,747.968003672674,65.257
ETH,2019,828.709080522921,65.741
ETH,2020,905.313159254148,65.969
ETH,2021,910.947887074508,65.33
ETH,2022,1011.07332413462,66.897
FRO,2015,52635.0375463609,81.7926829268293
